First Name,Last Name,Work Email,Start Date,End Date,Regular Hours
Aymer,Hauck,aymer@compiler.la,2023-01-01,2023-01-07,23.9
Aymer,Hauck,aymer@compiler.la,2023-01-08,2023-01-14,28.3
Aymer,Hauck,aymer@compiler.la,2023-01-15,2023-01-21,20.5
Aymer,Hauck,aymer@compiler.la,2023-01-22,2023-01-28,19.7
Aymer,Hauck,aymer@compiler.la,2023-01-29,2023-02-04,4.1
Gusella,Swaile,gusella@compiler.la,2023-01-01,2023-01-07,23.9
Gusella,Swaile,gusella@compiler.la,2023-01-08,2023-01-14,29.9
Gusella,Swaile,gusella@compiler.la,2023-01-15,2023-01-21,11.7
Gusella,Swaile,gusella@compiler.la,2023-01-22,2023-01-28,36.3
Gusella,Swaile,gusella@compiler.la,2023-01-29,2023-02-04,10.2
Hetti,Becken,hetti@compiler.la,2023-01-01,2023-01-07,24.1
Hetti,Becken,hetti@compiler.la,2023-01-08,2023-01-14,26.2
Hetti,Becken,hetti@compiler.la,2023-01-15,2023-01-21,34.2
Hetti,Becken,hetti@compiler.la,2023-01-22,2023-01-28,34.0
Hetti,Becken,hetti@compiler.la,2023-01-29,2023-02-04,4.4
Sawyer,Berrey,sawyer@compiler.la,2023-01-01,2023-01-07,19.6
Sawyer,Berrey,sawyer@compiler.la,2023-01-08,2023-01-14,22.8
Sawyer,Berrey,sawyer@compiler.la,2023-01-15,2023-01-21,17.7
Sawyer,Berrey,sawyer@compiler.la,2023-01-22,2023-01-28,15.9
Sawyer,Berrey,sawyer@compiler.la,2023-01-29,2023-02-04,3.7
Silas,Idenden,silas@compiler.la,2023-01-01,2023-01-07,26.4
Silas,Idenden,silas@compiler.la,2023-01-08,2023-01-14,19.8
Silas,Idenden,silas@compiler.la,2023-01-15,2023-01-21,30.6
Silas,Idenden,silas@compiler.la,2023-01-22,2023-01-28,25.1
Silas,Idenden,silas@compiler.la,2023-01-29,2023-02-04,5.4
