Email,Start date,Start time,Duration,Project,Task,Client,Billable,Description
aymer@compiler.la,2023-01-02,09:00:00,02:58:00,Project3,,Client1,Yes,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis
aymer@compiler.la,2023-01-03,09:00:00,03:08:00,Project3,,Client1,Yes,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo
aymer@compiler.la,2023-01-03,12:08:00,00:49:00,Project4,,Client1,Yes,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam
aymer@compiler.la,2023-01-04,09:00:00,02:57:00,Project3,,Client1,Yes,viverra eget congue eget semper rutrum nulla nunc purus phasellus in
aymer@compiler.la,2023-01-05,09:00:00,02:40:00,Project1,,Client1,Yes,justo sollicitudin ut suscipit a feugiat et eros
aymer@compiler.la,2023-01-05,11:40:00,01:39:00,Project5,,Client1,Yes,vestibulum ante ipsum primis in faucibus
aymer@compiler.la,2023-01-06,09:00:00,02:15:00,Project1,,Client1,Yes,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
aymer@compiler.la,2023-01-06,11:15:00,03:29:00,Project4,,Client1,Yes,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
aymer@compiler.la,2023-01-07,09:00:00,01:14:00,Project5,,Client1,Yes,nulla suspendisse potenti cras in purus eu
aymer@compiler.la,2023-01-07,10:14:00,00:45:00,Project3,,Client1,Yes,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
aymer@compiler.la,2023-01-08,09:00:00,02:00:00,Project4,,Client1,Yes,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt
aymer@compiler.la,2023-01-09,09:00:00,01:58:00,Project7,,Client1,Yes,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
aymer@compiler.la,2023-01-10,09:00:00,02:40:00,Project6,,Client1,Yes,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non
aymer@compiler.la,2023-01-11,09:00:00,03:09:00,Project3,,Client1,Yes,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit
aymer@compiler.la,2023-01-11,12:09:00,00:49:00,Project1,,Client1,Yes,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
aymer@compiler.la,2023-01-11,12:59:00,02:32:00,Project7,,Client1,Yes,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in
aymer@compiler.la,2023-01-11,15:31:00,02:37:00,Project2,,Client1,Yes,curabitur convallis duis consequat dui nec
aymer@compiler.la,2023-01-12,09:00:00,01:24:00,Project4,,Client1,Yes,morbi a ipsum integer a nibh
aymer@compiler.la,2023-01-12,10:24:00,03:50:00,Project3,,Client1,Yes,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
aymer@compiler.la,2023-01-12,14:14:00,01:15:00,Project7,,Client1,Yes,luctus et ultrices posuere cubilia curae nulla dapibus
aymer@compiler.la,2023-01-13,09:00:00,03:49:00,Project4,,Client1,Yes,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
aymer@compiler.la,2023-01-13,12:49:00,03:19:00,Project4,,Client1,Yes,lectus aliquam sit amet diam in
aymer@compiler.la,2023-01-14,09:00:00,00:54:00,Project3,,Client1,Yes,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
aymer@compiler.la,2023-01-16,09:00:00,00:06:00,Project6,,Client1,Yes,amet turpis elementum ligula vehicula consequat morbi a
aymer@compiler.la,2023-01-18,09:00:00,03:48:00,Project7,,Client1,Yes,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc
aymer@compiler.la,2023-01-19,09:00:00,03:54:00,Project1,,Client1,Yes,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra
aymer@compiler.la,2023-01-19,12:54:00,02:09:00,Project2,,Client1,Yes,neque aenean auctor gravida sem praesent id massa id
aymer@compiler.la,2023-01-20,09:00:00,02:43:00,Project1,,Client1,Yes,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
aymer@compiler.la,2023-01-20,11:43:00,03:45:00,Project7,,Client1,Yes,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
aymer@compiler.la,2023-01-21,09:00:00,03:45:00,Project3,,Client1,Yes,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam
aymer@compiler.la,2023-01-21,12:45:00,00:15:00,Project1,,Client1,Yes,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue
aymer@compiler.la,2023-01-22,09:00:00,00:05:00,Project3,,Client1,Yes,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
aymer@compiler.la,2023-01-23,09:00:00,01:31:00,Project7,,Client1,Yes,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
aymer@compiler.la,2023-01-24,09:00:00,02:13:00,Project7,,Client1,Yes,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
aymer@compiler.la,2023-01-25,09:00:00,02:49:00,Project6,,Client1,Yes,consequat lectus in est risus auctor sed tristique in tempus sit amet
aymer@compiler.la,2023-01-25,11:49:00,02:34:00,Project5,,Client1,Yes,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede
